1, 1, 4, 2, 7
2, 3, 3, 2, 11
4, 11, 6, 3, 21
5, 40, 5, 3, 155
3, 12, 4, 3, 35
3, 12, 3, 3, 28
2, 12, 8, 4, 37
3, 16, 7, 4, 42
0, 0, 6, 4, 1
2, 4, 5, 4, 38
3, 35, 4, 4, 115
2, 9, 3, 4, 46
3, 18, 10, 5, 33
7, 34, 9, 5, 106
6, 38, 8, 5, 84
2, 4, 7, 5, 16
3, 27, 6, 5, 74
5, 71, 5, 5, 252
3, 31, 4, 5, 99
3, 18, 3, 5, 75
11, 7068, 12, 6, 27072
6, 188, 14, 7, 399
10, 4746, 13, 7, 10737
7, 494, 16, 8, 690
6, 110, 15, 8, 237
11, 5962, 14, 8, 9545
9, 1781, 13, 8, 1845
11, 7108, 18, 9, 5963
14, 188112, 17, 9, 161768
10, 23682, 20, 10, 19814
18, 6713928, 22, 11, 9124532
8, 596, 24, 12, 631
10, 33593, 23, 12, 44773
9, 451, 24, 13, 523
15, 319787, 30, 15, 696983
13, 375859, 34, 17, 1088615
9, 5494, 38, 19, 12601
15, 4161626, 40, 20, 6398098
3, 6, 4, 2, 13
0, 0, 3, 2, 0
2, 3, 6, 3, 5
4, 14, 5, 3, 27
3, 8, 4, 3, 20
2, 6, 3, 3, 10
1, 1, 8, 4, 3
3, 11, 7, 4, 19
2, 6, 6, 4, 11
2, 5, 5, 4, 13
3, 12, 4, 4, 19
4, 33, 3, 4, 41
0, 0, 10, 5, 0
2, 7, 9, 5, 18
6, 83, 8, 5, 197
4, 16, 7, 5, 62
5, 81, 6, 5, 175
2, 4, 5, 5, 16
4, 16, 4, 5, 41
4, 36, 3, 5, 83
11, 5908, 12, 6, 12007
2, 4, 14, 7, 8
6, 75, 13, 7, 107
11, 3990, 12, 7, 4990
5, 125, 16, 8, 164
3, 31, 15, 8, 52
6, 109, 14, 8, 157
8, 1577, 13, 8, 1417
8, 2123, 12, 8, 1825
3, 27, 18, 9, 58
15, 533891, 17, 9, 409693
9, 1646, 20, 10, 1475
5, 72, 19, 10, 50
10, 2851, 18, 10, 2052
5, 147, 17, 10, 92
8, 54, 22, 11, 50
9, 3594, 21, 11, 2662
11, 10874, 20, 11, 9113
5, 161, 24, 12, 273
12, 19825, 22, 12, 21018
3, 16, 26, 13, 23
10, 10807, 24, 13, 11620
11, 67331, 28, 14, 62247
3, 22, 30, 15, 22
2, 5, 29, 15, 9
16, 169959, 28, 15, 148563
12, 68004, 32, 16, 59757
5, 286, 34, 17, 776
11, 64281, 33, 17, 61138
15, 1617256, 36, 18, 1448901
18, 22621609, 37, 19, 23233650
3, 6, 4, 2, 7
1, 1, 3, 2, 1
3, 7, 6, 3, 15
4, 11, 5, 3, 25
2, 6, 4, 3, 12
3, 12, 3, 3, 12
6, 79, 8, 4, 106
2, 7, 7, 4, 12
5, 40, 6, 4, 45
1, 1, 5, 4, 2
0, 0, 4, 4, 0
0, 0, 3, 4, 0
9, 170, 10, 5, 272
0, 0, 9, 5, 0
2, 10, 8, 5, 12
1, 2, 7, 5, 3
2, 8, 6, 5, 17
6, 149, 5, 5, 243
5, 181, 4, 5, 254
3, 16, 3, 5, 21
6, 141, 12, 6, 261
3, 22, 11, 6, 34
5, 73, 10, 6, 93
4, 20, 9, 6, 25
9, 1269, 8, 6, 1502
5, 78, 7, 6, 128
6, 279, 6, 6, 435
5, 91, 5, 6, 144
1, 1, 4, 6, 9
6, 228, 3, 6, 323
13, 34995, 14, 7, 32613
6, 569, 16, 8, 677
8, 1639, 15, 8, 1372
1, 3, 14, 8, 2
3, 12, 18, 9, 32
9, 3043, 20, 10, 3083
3, 17, 19, 10, 39
14, 81291, 18, 10, 71093
0, 0, 22, 11, 0
9, 1636, 21, 11, 986
10, 15000, 20, 11, 10859
7, 1104, 24, 12, 858
18, 9256173, 26, 13, 8731441
7, 291, 28, 14, 332
12, 78366, 30, 15, 76151
11, 25003, 34, 17, 25354
15, 656037, 36, 18, 647235
19, 22407256, 38, 19, 28195403
15, 1940253, 40, 20, 2354273
17, 791126, 42, 21, 991671
2, 5, 44, 22, 11
8, 2962, 43, 22, 3892
1, 1, 4, 2, 6
1, 1, 3, 2, 4
6, 28, 5, 3, 85
4, 16, 4, 3, 53
2, 3, 3, 3, 16
4, 36, 8, 4, 163
3, 11, 7, 4, 38
4, 43, 6, 4, 145
3, 12, 5, 4, 133
4, 33, 4, 4, 110
3, 18, 3, 4, 57
4, 15, 10, 5, 113
10, 831, 9, 5, 2690
5, 85, 8, 5, 273
4, 34, 6, 5, 90
6, 227, 5, 5, 533
0, 0, 4, 5, 1
4, 110, 3, 5, 241
7, 461, 12, 6, 1641
7, 140, 11, 6, 337
6, 163, 10, 6, 439
1, 3, 8, 6, 9
5, 162, 7, 6, 280
5, 105, 6, 6, 234
2, 6, 5, 6, 17
8, 1564, 4, 6, 4817
5, 89, 3, 6, 115
9, 338, 14, 7, 797
11, 11998, 13, 7, 32763
5, 135, 16, 8, 146
10, 2056, 15, 8, 7176
13, 13784, 14, 8, 19416
3, 17, 18, 9, 18
13, 22061, 16, 9, 19771
12, 49004, 20, 10, 41337
17, 1027017, 22, 11, 830130
12, 74924, 24, 12, 66532
5, 163, 28, 14, 464
17, 1056374, 27, 14, 1446841
8, 1125, 30, 15, 889
3, 6, 4, 2, 45
3, 6, 3, 2, 44
1, 2, 6, 3, 11
0, 0, 5, 3, 1
3, 12, 4, 3, 146
2, 8, 3, 3, 37
3, 19, 8, 4, 155
5, 57, 7, 4, 261
6, 43, 6, 4, 222
2, 9, 5, 4, 42
3, 27, 4, 4, 139
2, 4, 3, 4, 21
2, 7, 10, 5, 32
6, 60, 9, 5, 336
7, 324, 8, 5, 1614
9, 207, 7, 5, 982
5, 136, 6, 5, 975
3, 19, 5, 5, 83
6, 171, 4, 5, 858
2, 5, 3, 5, 52
6, 137, 12, 6, 444
1, 1, 11, 6, 5
2, 5, 10, 6, 58
7, 402, 9, 6, 1861
3, 25, 8, 6, 79
7, 349, 7, 6, 659
3, 17, 6, 6, 49
2, 5, 5, 6, 13
3, 38, 4, 6, 76
3, 19, 3, 6, 36
9, 480, 14, 7, 2414
8, 1998, 13, 7, 5361
3, 39, 11, 7, 76
8, 1139, 10, 7, 2284
5, 72, 9, 7, 114
2, 7, 8, 7, 21
4, 86, 7, 7, 137
2, 7, 6, 7, 14
7, 211, 5, 7, 334
5, 211, 4, 7, 253
1, 1, 3, 7, 3
4, 46, 16, 8, 51
2, 4, 15, 8, 8
8, 2375, 14, 8, 3199
1, 2, 13, 8, 9
5, 74, 12, 8, 116
7, 1281, 11, 8, 2108
7, 730, 10, 8, 948
1, 1, 9, 8, 2
4, 35, 8, 8, 26
4, 40, 7, 8, 31
4, 21, 6, 8, 19
11, 25152, 5, 8, 24697
5, 111, 18, 9, 152
2, 9, 17, 9, 11
12, 13140, 16, 9, 13857
5, 143, 20, 10, 144
11, 10090, 19, 10, 11443
5, 79, 26, 13, 141
2, 9, 25, 13, 8
6, 712, 24, 13, 756
12, 138182, 28, 14, 119043
12, 76282, 30, 15, 64282
5, 316, 32, 16, 303
6, 341, 31, 16, 276
11, 42775, 30, 16, 39050
9, 3647, 34, 17, 3556
19, 246641, 33, 17, 227590
7, 1682, 36, 18, 1243
5, 243, 35, 18, 508
17, 1051506, 37, 19, 1212989
1, 1, 4, 2, 4
1, 1, 3, 2, 3
2, 5, 6, 3, 21
6, 26, 5, 3, 87
2, 5, 4, 3, 8
3, 12, 3, 3, 33
5, 43, 8, 4, 88
6, 149, 7, 4, 302
1, 1, 6, 4, 5
4, 51, 5, 4, 121
3, 17, 4, 4, 32
3, 24, 3, 4, 53
1, 1, 10, 5, 3
8, 217, 9, 5, 417
2, 5, 8, 5, 9
3, 24, 7, 5, 50
3, 20, 6, 5, 35
5, 131, 5, 5, 272
3, 17, 4, 5, 34
1, 1, 3, 5, 2
4, 40, 12, 6, 168
6, 117, 11, 6, 319
2, 4, 10, 6, 12
2, 4, 9, 6, 11
7, 446, 8, 6, 961
7, 255, 7, 6, 537
6, 137, 6, 6, 266
3, 17, 5, 6, 40
5, 261, 4, 6, 430
6, 240, 3, 6, 439
10, 227, 14, 7, 946
9, 1358, 13, 7, 4916
0, 0, 12, 7, 2
6, 184, 11, 7, 8177
8, 876, 10, 7, 1888
4, 37, 9, 7, 116
5, 166, 8, 7, 468
2, 4, 7, 7, 19
9, 3625, 6, 7, 7520
3, 16, 5, 7, 46
3, 31, 4, 7, 84
4, 58, 3, 7, 142
6, 210, 16, 8, 1506
8, 1901, 15, 8, 4570
3, 21, 14, 8, 44
4, 26, 13, 8, 55
8, 1346, 12, 8, 3345
9, 1268, 11, 8, 2887
6, 413, 10, 8, 1026
9, 1195, 9, 8, 2000
2, 4, 8, 8, 11
8, 1461, 7, 8, 2197
7, 257, 6, 8, 425
6, 439, 5, 8, 548
2, 5, 4, 8, 7
2, 3, 3, 8, 6
1, 2, 18, 9, 6
6, 410, 17, 9, 543
12, 26352, 16, 9, 34957
10, 13855, 22, 11, 14175
15, 50994, 26, 13, 184168
8, 5705, 28, 14, 42725
17, 2862577, 30, 15, 2819954
12, 18676, 32, 16, 16340
5, 207, 34, 17, 167
15, 1673388, 33, 17, 1511354
3, 28, 38, 19, 26
11, 49032, 40, 20, 76381
7, 1089, 42, 21, 1136
8, 1389, 46, 23, 1849
0, 0, 4, 2, 1
