1, 1, 4, 2, 11
2, 2, 3, 2, 8
4, 4, 6, 3, 12
5, 10, 5, 3, 34
3, 6, 4, 3, 24
3, 5, 3, 3, 20
2, 2, 8, 4, 15
3, 4, 7, 4, 64
0, 0, 6, 4, 1
2, 2, 5, 4, 11
3, 3, 4, 4, 15
2, 2, 3, 4, 12
3, 5, 10, 5, 32
7, 9, 9, 5, 25
6, 6, 8, 5, 20
2, 2, 7, 5, 24
3, 4, 6, 5, 13
5, 10, 5, 5, 101
3, 3, 4, 5, 19
3, 4, 3, 5, 35
11, 308, 12, 6, 1895
6, 8, 14, 7, 49
7, 18, 16, 8, 81
6, 16, 15, 8, 88
11, 57, 14, 8, 276
9, 52, 13, 8, 81
11, 27, 18, 9, 51
14, 95, 17, 9, 149
10, 43, 20, 10, 92
18, 82, 22, 11, 130
8, 22, 24, 12, 54
10, 59, 23, 12, 139
9, 23, 24, 13, 54
15, 66, 30, 15, 150
13, 27, 34, 17, 157
9, 30, 38, 19, 87
15, 80, 40, 20, 274
25, 743, 42, 21, 2253
18, 184, 44, 22, 435
3, 3, 4, 2, 13
0, 0, 3, 2, 0
2, 2, 6, 3, 5
4, 4, 5, 3, 16
3, 3, 4, 3, 9
2, 2, 3, 3, 7
1, 1, 8, 4, 10
3, 4, 7, 4, 12
2, 2, 6, 4, 7
2, 3, 5, 4, 18
3, 6, 4, 4, 14
4, 6, 3, 4, 16
0, 0, 10, 5, 0
2, 3, 9, 5, 13
6, 12, 8, 5, 52
4, 6, 7, 5, 23
5, 10, 6, 5, 39
2, 2, 5, 5, 8
4, 4, 4, 5, 11
4, 7, 3, 5, 22
11, 346, 12, 6, 1239
2, 2, 14, 7, 16
6, 6, 13, 7, 24
11, 30, 12, 7, 67
5, 5, 16, 8, 20
3, 4, 15, 8, 16
6, 18, 14, 8, 33
8, 40, 13, 8, 68
8, 28, 12, 8, 61
3, 6, 18, 9, 26
15, 3666, 17, 9, 9192
9, 83, 20, 10, 139
5, 5, 19, 10, 11
10, 27, 18, 10, 40
5, 13, 17, 10, 16
8, 10, 22, 11, 10
9, 9, 21, 11, 11
11, 31, 20, 11, 72
5, 8, 24, 12, 24
12, 83, 22, 12, 172
3, 3, 26, 13, 10
10, 27, 24, 13, 63
11, 69, 28, 14, 119
3, 5, 30, 15, 10
2, 3, 29, 15, 9
16, 28, 28, 15, 58
5, 5, 34, 17, 14
11, 29, 33, 17, 47
15, 35, 36, 18, 72
18, 633, 37, 19, 1072
3, 3, 4, 2, 7
1, 1, 3, 2, 1
3, 3, 6, 3, 6
4, 4, 5, 3, 8
2, 2, 4, 3, 3
3, 5, 3, 3, 7
6, 12, 8, 4, 30
2, 2, 7, 4, 4
5, 9, 6, 4, 14
1, 1, 5, 4, 2
0, 0, 4, 4, 0
0, 0, 3, 4, 0
9, 11, 10, 5, 23
0, 0, 9, 5, 0
2, 2, 8, 5, 4
1, 1, 7, 5, 2
2, 2, 6, 5, 6
6, 12, 5, 5, 51
